Name,Longitude ,Latitude
Maunu School,174.272415,-35.744983
Morningside School,174.322127,-35.734761
Motatau School,174.034798,-35.495901
Ngataki School,173.046222,-34.744411
Ngunguru School,174.512273,-35.62659
Ohaeawai School,173.883892,-35.35262
Okaihau Primary School,173.764381,-35.323741
Omanaia School,173.524333,-35.456578
One Tree Point School,174.464104,-35.831251
Onerahi School,174.367387,-35.758064
Opua School,174.11777,-35.314586
Oromahoe School,173.972248,-35.318809
Oruaiti School,173.588926,-35.003367
Otaika Valley School,174.300066,-35.787003
Te Kura o Otangarei,174.320623,-35.695145
Oturu School,173.285687,-35.09327
Paihia School,174.090494,-35.283576
Pakaraka School,173.957843,-35.35626
Pakiri School,174.727024,-36.264923
Pakotai School,173.900725,-35.688407
Pamapuria School,173.351826,-35.132798
Paparoa School,174.233447,-36.099534
Paparore School,173.202855,-35.027927
Parua Bay School,174.479467,-35.769841
Peria School,173.487626,-35.098683
Pompallier Catholic School,173.26084,-35.114877
Poroti School,174.139016,-35.739143
Portland School,174.326546,-35.798856
Pouto School,174.101867,-36.28565
Pukenui School (Kaitaia),173.116468,-34.817188
Pukepoto School,173.213724,-35.159075
Purua School,174.108322,-35.632312
Raurimu Avenue School,174.362661,-35.763896
Rawene School,173.506253,-35.403695
Ruakaka School,174.440861,-35.89824
Ruawai Primary School,174.011042,-36.121583
Russell School (Bay Of Islands),174.123766,-35.262172
Selwyn Park School,173.875985,-35.932934
St Joseph's Catholic School (Dargaville),173.862788,-35.935344
Te Kura o Hato Hohepa Te Kamura,173.712928,-35.070013
Te Kura o Hata Maria (Pawarenga),173.289088,-35.337253
Tangiteroria School,174.04843,-35.821653
Tangowahine School,173.934923,-35.865281
Tapora School,174.302849,-36.351255
Tauhoa School,174.452893,-36.378083
Te Hapua School,172.909436,-34.517653
Te Horo School (Whangarei),174.017985,-35.620325
Te Kopuru School,173.922791,-36.029759
Bay of Islands International Academy,173.996338,-35.138784
Tikipunga Primary School,174.324242,-35.685963
Tinopai School,174.245318,-36.247162
Tomarata School,174.633729,-36.231302
Totara North School,173.712486,-35.038967
Umawera School,173.574373,-35.285066
Waiharara School,173.185822,-34.934849
Waima School,173.58652,-35.48925
Waiotira School,174.198942,-35.938725
Waipu School,174.443368,-35.987835
Wellsford School,174.515607,-36.284045
Whananaki School,174.454687,-35.514436
Whangarei Heads School,174.516025,-35.822317
Whangarei Intermediate,174.316797,-35.722292
Whangarei School,174.3218,-35.717558
Whau Valley School,174.314857,-35.700434
Living Way Christian School,174.524576,-36.294024
Christian Renewal School,174.316495,-35.730345
Lake Taupo Christian School,176.101668,-38.697054
TKKM o Takapau,176.349136,-40.025569
TKKM o Nga Mokopuna,174.831725,-41.320703
Te Rangi Aniwaniwa,173.289686,-35.070132
Nelson Christian Academy,173.244053,-41.316279
Sonrise Christian School,177.992676,-38.641969
TKKM o Te Puaha o Waikato,174.726599,-37.391189
TKKM o Te Koutu,176.234358,-38.119256
TKKM o Te Rawhiti Roa,174.326641,-35.677213
Horizon School,174.731164,-36.427977
Everglade School,174.895434,-36.997085
TKKM o Ruamata,176.322678,-38.095664
Wanaka Primary School,169.136735,-44.683944
Emmanuel Christian School,172.588279,-43.478668
Paeroa Christian School,175.664909,-37.366646
Whakatane S D A School,176.975389,-37.96151
Cornerstone Christian School,175.651461,-40.330504
Kaikohe Christian School,173.806566,-35.411304
Te Huruhi School,175.028146,-36.799296
Tasman Bay Christian School,173.055609,-41.195405
Maranatha Christian School,174.913913,-41.182642
Hawera Christian School,174.21884,-39.57687
Matahui School,175.947272,-37.598693
Matamata Christian School,175.762633,-37.816167
Tauranga Waldorf School,176.205671,-37.728787
Wa Ora Montessori School,174.962094,-41.201665
Elim Christian College,174.915748,-36.913922
Dunedin Rudolf Steiner School,170.565765,-45.859003
Red Beach School,174.701332,-36.609179
Adventure School,174.890083,-41.120037
Ahuroa School,174.553401,-36.473168
Aka Aka School,174.803976,-37.283231
Albany School,174.690624,-36.736702
Alfriston School,174.940053,-37.016727
Anchorage Park School,174.867013,-36.919697
Arahoe School,174.674452,-36.922866
Ararimu School,175.037192,-37.140652
Ardmore School,174.999905,-37.033892
Arohanui Special School,174.652674,-36.881323
Northern Health School,174.769602,-36.860632
Auckland Normal Intermediate,174.765702,-36.885383
Avondale Intermediate,174.692917,-36.890868
Avondale Primary School (Auckland),174.698538,-36.896285
Awhitu District School,174.616354,-37.113261
Sir Douglas Bader Intermediate School,174.801425,-36.967322
Bailey Road School,174.827157,-36.909115
